Case Description,Issue Type
"Hi, please see attached screen shot for the error. 
Looking forward to your reply. 
ThanksJohnson SohHP:90222444",SwimSafer
"Hi,

I have registered ActiveSG membership for my daughter using this email address and a phone number. When I tried to register using the same number for my husband it failed. Does it mean one phone number can only be used for one account? I am also not able to remove phone number from my daughter’s account. How do people usually register for kids if they don’t have a separate phone number? How can I register a new account for my husband now?

Also, I was trying to change the account details to my husband’s info but it was not working since it’s already linked to my daughter’s IC (I think). But when I tried to change the email address back from 13501061965.139.com (new one I entered, not verified yet) to this email address (original one used during registration) it failed again, showing “this email address already existed”. How can I change it back? Do I need to verify the new one and then change it back?

Can you please help with above questions? 

Best,
Lin",Membership
"Hi,

This is Bryan from SwimFast. Writing to seek some help. I try to book a
test date for our students. On the 28 Mar, Stage 1 & 2. After filling up
all the student's particulars. I try to create the instructor group and
this error keep showing no matter which coach I select.
Please see the attachment below.

Please get back to me as soon as possible.
My contact number: 83665522

Thank you
Best Regards,

*Bryan*

SWIMFAST AQUATIC GROUP PTE LTD

38 Jalan Pemimpin #02-05 | Singapore 577178

Tel : 64724288 | www.swimfast.com.sg

We are ""The Swimming People...""
",SwimSafer
"Dear Sir
Please enrol  me in the above programme.
I am age 64 female a retiree and would be interested to know about my health and what programmes  could help me.

Looking forward for your reply.

Thank you



Regards Seah Bee Lee 

EstherMobile: (65) 98193223
",Enquiries
"Good afternoon,

I would need your assistance to help me refund my cash that I had
accidentally put $20 into my niece account due to app issues. I also had
purchase a ticket that cost $0.50. So there’s a remaining $19.50

Her account name: Nur Attrisya
IC: T0801718I
Phone: 8879 0103

Thanks in advance

Your sincerely,
Maliki


Sent from my iPhone
",Wallet
"Hi i need to change my details for T0112727B Na Yong
Shen(password:fizzy520166) as follows
Email:watersmalker@rocketmail.com
New email:kohbaron5201@gmail.com
Number:91986410
New number:80133706
",Membership
Dear ActiveSGRecycled bottles in RVM last Sunday in IMM n registered under my IC (390G) for ActiveSG credits. Until now I did not see any of the credit in my account. Who can assist me on this? RegardsSeni Lim(65) 91450498,Others
"Didn't receive my free $100 credits
",Wallet
"Hello Shafinaz,

Attached is an auto generated report that has been scheduled for you.

Report Name: (HD) Daily Case Logs 

Report Run Date and Time: 18/03/2021 09:00pm +08

",Others
"Hello Shafinaz,

Attached is an auto generated report that has been scheduled for you.

Report Name: (HD) EOD Outstanding Cases Report

Report Run Date and Time: 18/03/2021 09:00pm +08

",Others
"Thank you for your assistance.

On Wed, Mar 17, 2021, 7:10 PM Active SG Helpdesk 
wrote:

> Dear Member,
>
>
>
> Thank you for writing to ActiveSG Technical HelpDesk.
>
>
>
> As per checking your account is still under a supplementary status. To be
> able to purchase gym passes or schemes kindly update your account to an
> individual ActiveSG membership.
>
>
> You will need to head down to the nearest Sports Centre or Swimming
> Complex and approach the Guest Officer for assistance in updating your
> ActiveSG account.
>
>
>
> For technical-related issues, contact us again at +65 65941388 (Mon to
> Sun, 7am to 10pm) or email: helpme@iappsasia.com. For other enquiries,
> click here.
>
> https://members.myactivesg.com/feedback.
>
>
> Thank you.
>
> With Best Regards,
> Rodgie
>
> ActiveSG Technical Helpdesk
> iAPPS Pte Ltd
> 3 Fusionopolis Way, #13-24/25
> Symbiosis, Singapore 138633
> Helpline: 65941388
>
>
>
>
>
>
>
> ------------------------------
>
> *From:* brandonliowjuhnan@gmail.com
> *Date:* 03/17/2021 04:02pm
> *To:* helpme@iappsasia.com
> *Subject:* Re: [CASE:217070] ActiveSG Contact Us
> T0306656D
>
> On Tue, Mar 16, 2021, 7:22 AM Active SG Helpdesk 
> wrote:
>
>> Hi
>>
>> Thank you for writing to the ActiveSG technical helpdesk.
>>
>> Kindly provide us with your NRIC so that we can proceed to check in our
>> system.
>>
>> For technical-related issues, contact us again at +65 65941388 (Mon to
>> Sun, 7am to 10pm) or email: helpme@iappsasia.com. For other enquiries,
>> click here. https://members.myactivesg.com/feedback.
>>
>> Thank you.
>>
>> With Best Regards,
>>
>> Carissa
>>
>> ActiveSG Technical Helpdesk
>>
>> iAPPS Pte Ltd
>>
>> 3 Fusionopolis Way, #13-24/25
>>
>> Symbiosis, Singapore 138633
>>
>> Helpline: 65941388
>>
>>
>> ------------------------------
>>
>> *From:* brandonliowjuhnan@gmail.com
>> *Date:* 15-03-2021 09:31pm
>> *To:* helpme@iappsasia.com
>> *Subject:* [CASE:217070] ActiveSG Contact Us
>> I cannot buy the gym pass as it is just blank, I then logged out and add
>> to cart a pass which made me logged in and this error popped up.
>>
>
",Enquiries
"Hello,

When I try to buy a monthly gym pass, I do not get the option to select any
of the passes when I reached the 'Buy Pass' page. Attached to this email is
how my page looks like. Please advise why I am unable to buy the pass, and
a solution to this problem.
",Membership
"Hi,

Today I experienced this issue whereby the app does not allow me to collect my point. Please refer to screenshot below.

",GameOn Nila
"I have already book slot for myself. Change account to my son to book for
him but was unable.

Attached video and pic

Pls help to book for my son on 19 Mar. 11am
",Booking
"On Thu, 18 Mar 2021, 9:50 pm Missy Chrissng, 
wrote:

> I have already book slot for myself. Change account to my son to book for
> him but was unable.
>
> Attached video and pic
>
> Pls help to book for my son on 19 Mar. 11am
>
",Enquiries
"Hi, I did not received the activessg $100 at all but in the apps stated the
it was credited on Nov 2017, but I had only download the apps on 2020.
Can you please help me check? Thanks!
",Wallet
"Hi,
I cant find the 'add child' feature on the apps. Can you please assist to screen shot where can i find? I want to register for my children below 7 years old. Thanks
--
Sent from Tohsoft.Mail for mobile
",Membership
"Hi ActiveSG Helpdesk Team,

I was just successful in using the website as a temporary workaround! Perhaps you could use this when advising future incidents like mine. Thanks!

Vinc Tay
On 14 Mar 2021, 10:59 +0800, Vinc Tay , wrote:
> Many thanks Shafinaz & Team for looking into this! Appreciate the official response. Stay safe, stay fit. 💪
>
> Vinc Tay
> On 13 Mar 2021, 09:08 +0800, Shafinaz , wrote:
> > Hi Vinc,
> >
> > Thank you for writing to ActiveSG Technical HelpDesk.
> >
> >
> > SportSG and ActiveSG Technical HelpDesk are currently looking into resolving this issue.
> >
> > We kindly advise members to make bookings on different devices and time slots in the meantime.
> >
> > We sincerely apologize for the inconvenience caused and appreciate your kind understanding and patience for the time being.
> >
> >
> >
> > For technical-related issues, contact us again at +65 65941388 (Mon to Sun, 7am to 10pm) or email: helpme@iappsasia.com. For other enquiries, click here. https://members.myactivesg.com/feedback.
> >
> > Thank you.
> >
> >
> > Warmest Regards,
> > Shafinaz
> > ActiveSG Technical Helpdesk
> > iAPPS Pte Ltd
> > 3 Fusionopolis Way, #13-24/25
> > Symbiosis, Singapore 138633
> > Helpline: 65941388
> >
> >
> > From: vinctaycm@gmail.com
> > Date: 11/03/2021 06:14pm
> > To: drkrpr@icloud.com, helpme@iappsasia.com
> > Cc: drkrpr@icloud.com
> > Subject: Re: [CASE:215426] ActiveSG Contact Us
> > Thanks for the response. Uninstalling/rebooting/reinstalling does not resolve the issue.
> >
> > Mobile No.: +65 9273 2313
> > Phone Model: iPhone 12 Pro
> > OS/Android Version: iOS 14.4.1
> > App Version: 2.20
> >
> > Screenshot was included in original email, I will attach again. I notice the issue occurred only for a particular timeslot (0700AM) at Jurong West Gym only. Other gyms had no such issue.
> >
> > Hope you can solve this! I haven’t been able to secure a gym slot for weeks now. Thanks so much for your time.
> >
> > Vinc
> > On 11 Mar 2021, 14:38 +0800, Active SG Helpdesk , wrote:
> > >  Hi,
> > >
> > > Thank you for writing to ActiveSG Technical HelpDesk.
> > >
> > >
> > > Kindly provide us with the details of the booking you are trying to make for so we can check in the system for you. Activity/Venue/Time.
> > >
> > >
> > > Please uninstall and reinstall the application and try to log in again.
> > >
> > > If the issue persists, please advise us on the following details so that we can check:-
> > >
> > > Mobile No.:
> > > Phone Model:
> > > OS/Android Version:
> > > App Version:
> > >
> > > Do share with us a screenshot of the issue as well.
> > >
> > >
> > >
> > >
> > >
> > > For technical-related issues, contact us again at +65 65941388 (Mon to Sun, 7am to 10pm) or email: helpme@iappsasia.com. For other enquiries, click here. https://members.myactivesg.com/feedback.
> > >
> > > Thank you.
> > >
> > > With Best Regards,
> > > Shima
> > > ActiveSG Technical Helpdesk
> > > iAPPS Pte Ltd
> > > 3 Fusionopolis Way, #13-24/25
> > > Symbiosis, Singapore 138633
> > > Helpline: 65941388
> > >
> > > From: drkrpr@icloud.com
> > > Date: 11/03/2021 12:03pm
> > > To: helpme@iappsasia.com
> > > Subject: [CASE:215426] ActiveSG Contact Us
> > > Hi iApps Team,
> > >
> > > Please help! Past few days I haven’t been able to book any slots. I tried closing the app and reopening, or refresh by changing the days back and forth. What’s happening? Thanks in advance.
> > >
> > > Vinc
> > >
",Enquiries
"Hi Sir/Mdm,
I've being booking badminton court online for many years and is not easy to book for the past few years as the system kept hanging. But after SG Active came up with the CAPTCHA (I'm not a robot and Puzzle Solving) at least I was given a chance to make a booking. Unfortunately, the Puzzle Solving has taken out and booking was once again with difficulty.For the past 4 consecutive weeks (Feb - Mar), I was not even given the chance to compete with others to make the booking, cos my system kept hanging @7am sharp (Fri)even though I'm not using wireless system to make booking. It hang about 3 - 5 mins (I'm not a robot) before it get through the booking page. By the time, all the slots were already taken up. I really appreciate that you can look into this matter and can consider to install the CAPTCHA for Puzzle Solving again, at least I still have a chance to make the booking. We are a group of senior folks badminton lover and have been playing for more than a decade. Now, without this exercise, we feel so loss and despondent.Your understanding and sympathy are highly appreciated.
Thank you
Your Sincerely,Wilson Lee
",Booking
"Hello,
I wish to signup a new membership in ActiveSG for my child (6 years,
foreigner). She doesnt have a phone / phone number. Can you advise how this
can be facilitated? Thank you,

-- 
Thanks and Regards
Kadir Vedachalam
",Membership
"Dear Zachary,

Thank you for your help.

Regards,
Alexander

On Fri, 19 Mar 2021, 09:47 Active SG Helpdesk,  wrote:

> Dear Mr Ho,
>
> We have checked in the system and noted that your account is still a
> supplementary account. This would be why you are unable to view the passes.
>
> To update your supplementary account to individual, kindly proceed to any
> of the nearest ActiveSG facilities (Gym, Swimming complex, or Sports Hall)
> and request assistance from the Guest Officer to
>
> 1) Update account type from supplementary to individual
> 2) Update mobile number and email address
> 3) Reset password / pin (if you do not know what is your login password or
> ewallet pin)
>
> Please remember to bring along your NRIC/student pass for verification
> purposes.
>
>
> Thank you.
>
> With Best Regards,
> Zachary
>
> ActiveSG Technical Helpdesk
> iAPPS Pte Ltd
> 3 Fusionopolis Way, #13-24/25
> Symbiosis, Singapore 138633
> Helpline: 65941388
>
>
> ------------------------------
>
> *From:* alexanderho2000@gmail.com
> *Date:* 19/03/2021 09:31am
> *To:* helpme@iappsasia.com
> *Subject:* Re: [CASE:218354] ActiveSG Contact Us
> Dear Zachary,
>
> My IC is T0032680H, and my mobile number is 8300 1626.
>
> Regards,
> Alexander
>
>
> On Fri, 19 Mar 2021, 07:17 Active SG Helpdesk, 
> wrote:
>
>> Dear Mr Ho,
>>
>> Thank you for writing to ActiveSG Technical HelpDesk.
>>
>> Can we request for your IC/ID number/mobile number to allow us to check
>> in our system?
>>
>> For technical-related issues, contact us again at +65 65941388 (Mon to
>> Sun, 7am to 10pm) or email: helpme@iappsasia.com.
>> For other enquiries, click here. https://members.myactivesg.com/feedback.
>>
>> Thank you.
>>
>> With Best Regards,
>> Zachary
>>
>> ActiveSG Technical Helpdesk
>> iAPPS Pte Ltd
>> 3 Fusionopolis Way, #13-24/25
>> Symbiosis, Singapore 138633
>> Helpline: 65941388
>>
>> ------------------------------
>>
>> *From:* alexanderho2000@gmail.com
>> *Date:* 18/03/2021 09:31pm
>> *To:* helpme@iappsasia.com
>> *Subject:* [CASE:218354] ActiveSG Contact Us
>> Hello,
>>
>> When I try to buy a monthly gym pass, I do not get the option to select
>> any of the passes when I reached the 'Buy Pass' page. Attached to this
>> email is how my page looks like. Please advise why I am unable to buy the
>> pass, and a solution to this problem.
>>
>
",Enquiries
"Act!ve5GS5C~



Shu Ling

Service Quality

From: Shu Ling YEO (SPORT)
Sent: Friday, 19 March 2021 10:28 AM
To: 'Helpdesk Team' ; 'phoebexie@iappsasia.com' ; 'Esther Xie' ; 'Jocelyn Ng Min Er' ; 'Sport Singapore Helpdesk' ; 'jeremiah@iappsasia.com' ; 'Mounika Maturi' ; 'shrini@iappsasia.com' ; 'sheraine@iappsasia.com' 
Cc: Jeremy SHO (SPORT) ; Harish RAVINDRABABU (SPORT) ; Yee Hon OON (SPORT) ; Janice WOON (SPORT) ; Sarina RAHMAT (SPORT) ; Meng Hao TAY (SPORT) ; Junjie CHONG (SPORT) 
Subject: Credit Expiry - APPROVED 2021 LIST 2

Hi Helpdesk

There are 41 members in the attached sheet. To extend their ActiveSG credits with expiry date 31 March 2022.

Please proceed with data patch for the next ontime push, and update once done.

Password will be send separately.


Thank you.

Shu Ling
Service Quality

",Others
"Screenshot that c1 3-5 pm is booked already? I cannot capture it since we are booking 3-5 pm. But every week it is red already and not available. 

Please help to check if this is prebooked or maybe using some script. 

Thanks. 

Sent from my iPhone

> On 19 Mar 2021, at 8:59 AM, Active SG Helpdesk  wrote:
> 
> ﻿
> Dear Member,
> 
> 
> 
> 
> 
> Thank you for writing to ActiveSG Technical HelpDesk.
> 
> 
> 
> 
> 
> Kindly provide us a screenshot of the page when you tried making the booking for the specific school facility you have mentioned.
> 
> 
> 
> For technical-related issues, contact us again at +65 65941388 (Mon to Sun, 7am to 10pm) or email: helpme@iappsasia.com. For other enquiries, click here. https://members.myactivesg.com/feedback. 
> 
>  
> 
> 
> 
> Best Regards,
> 
>  
> 
> Rodgie
> 
> ActiveSG Technical Helpdesk
> 
> iAPPS Pte Ltd
> 
> 3 Fusionopolis Way, #13-24/25 
> 
> Symbiosis, Singapore 138633
> 
> Helpline: 65941388
> 
> 
",Booking
"Hi Officer,

I had mistake transfer to wrong phone number +65 8686 2145 as per attachment.
It is possible help to return back $10.00?

Receipt No: 20210316RC023947
Date/Time: Tue 16-Mar-21  10:37pm
Payer Name: KANG SHU HUI

My phone number is 93707186.

Thanks for your help

Best Regards,
Kang Shu Hui

________________________________
发件人: Kang Shu Hui 
发送时间: 2021年3月16日 22:53
收件人: helpme@iappsasia.om 
主题: 转发: ActiveSG eReceipt - Wrongly transfer


Hi Team,

It is possible help to reverse back for me $10.00, I ransfer to wrong number
My phone number 93707186.

Thanks for your help

Best Regards,
Kang Shu Hui
________________________________
发件人: no-reply@iappsasia.com 
发送时间: 2021年3月16日 22:37
收件人: kang_sophia@hotmail.com 
主题: ActiveSG eReceipt


",Wallet
"Hi
I am unable to book classes on behalf for my children. Please assist.
Thanks
",Enquiries
"Please check. We are not sure if it was intended to be unavailable or maybe script was used in booking. Because it is every week that c1 3-5pm saturday is always booked or red already. It is not just me but group of friends commented that c1 is always fast and we are using ios and browser. I cannot take photo since It is already difficult to book 3-5pm. 

Sent from my iPhone

> On 19 Mar 2021, at 8:59 AM, Active SG Helpdesk  wrote:
> 
> ﻿
> Dear Member,
> 
> 
> 
> 
> 
> Thank you for writing to ActiveSG Technical HelpDesk.
> 
> 
> 
> 
> 
> Kindly provide us a screenshot of the page when you tried making the booking for the specific school facility you have mentioned.
> 
> 
> 
> For technical-related issues, contact us again at +65 65941388 (Mon to Sun, 7am to 10pm) or email: helpme@iappsasia.com. For other enquiries, click here. https://members.myactivesg.com/feedback. 
> 
>  
> 
> 
> 
> Best Regards,
> 
>  
> 
> Rodgie
> 
> ActiveSG Technical Helpdesk
> 
> iAPPS Pte Ltd
> 
> 3 Fusionopolis Way, #13-24/25 
> 
> Symbiosis, Singapore 138633
> 
> Helpline: 65941388
> 
> 
",Booking
"
",Enquiries
"
Hi
Any update for my refund payment. 

Thanks 
Sent from my iPhone
",Enquiries
"Hi, 
I am trying to purchase usage permit for ActiveSG swimming pools via the instructions listed in your pdf (https://drive.google.com/file/d/1iT0JsXRxRk51cwW1Shjhnpqh2dikfaXt/view?usp=drivesdk). However I do not see any option to purchase it on my Coach Profile under ActiveSG portal. I have attached the screenshot for your reference.
Please assist. 
RgdsTan Kiat HauHp 98426217 

Sent from Yahoo Mail on Android",SwimSafer
"Hi,

My name is Joel Yeo Yu Wei and I am unable to change my pin number because
I do not have an email registered to my account. May I know what I must do?
",Wallet
"Dear Sir,
I am refering to activesg apps on the renewal of monthly swim pass

Date of commencement always starts on the day of the purchase.
The current booking policy is 3 days in advance (usually done for favorite time slot in advance)

Monthly swim pass bought on 22nd ends on the 21st of the next month, a booking on 19th for 22nd swim would not be possible as it expired on 21st.
If the monthly swim pass renewal is made on 19th,  the expiry is on 18th and not 21st of the following month.(The renewable must be done on 19th in order to secure a advance slot on 22nd.Meaning 2 days will be fortified)
Would the apps logic knows that the renewal is done before the current swim pass expired and would extend the new renewal date by continuing the  expiry date to 21st and not taking the date of renewal as the swim pass starts date.
The above is affecting those who renew their passes before it expiry.
Thank you for your attention.



",Enquiries
"Hi Officer-In-Charge,

I would like to know why I am charged $2.50 for the gym slot booking I made
for 22 March when my off-peak 6 month gym pass is still valid.

Thank you.

-- 
Regards,
Muhammad Ridhwan
",Booking
"Hi,

i just signed up for the pop pilates class in April at bedok however i need to cancel and seek a refund.
reason because i just found out i am pregnant.
seek your kind understanding on this matter.
please let me know what proof you need me to furnish you in order to support the claim.

thank you for your time.

Regards,
Pearle
94248425

",Programme
"Hi there,

I would like to clarify if there is an expiry of the $100 ActiveSG credits. Apparently I have been awarded the credits on 27 June 2014 but I have never used any of it. Only in 2018, I did a top up using my credit card.

I sincerely appreciate it if you can help me investigate and clarify this matter, as it is very unfair that I do not get to book facilities using these credits.

Thanks and regards,
Venessa
",Wallet
"Good afternoon, there's seem to be a problem with the app as I can't seem to cancel my gym booking ",Booking
"As spoken earlier, this is the emailed I have sent to them.

---------- Forwarded message ---------
From: Donovan Ong 
Date: Wed, 17 Mar 2021 at 20:36
Subject: Swimsafer Test Assessor
To: 
Cc: 


Good evening Swimsafer department,

I have questions to raise as my assessor Mr Goh Hock Lye did not turn up
for my swimsafer test on 14-03-21 sunday 4pm Stage 2 (BIVMB4H2) and 5pm
Stage 2 (U9YQOT0T) at Jalan Besar SC. So I have no choice but to ask Mr
Peter Chai Woei Guo who was my 3pm stage 2 (PEJIPODY) assessor to stay
behind and replace Mr Goh Hock Lye and oversee my student's test. I tried
calling Mr Goh Hock Lye and was told he already emailed swimsafer about the
changes of assessor but when i login it's still under his name. So I would
like you to change it to Mr Peter Chai Woei Guo to be fair to him that he
stayed behind and test my students.

The 2nd question Mr Goh Hock Lye is also my appointed assessor for 21-03-21
at Jalan Besar SC 3pm stage 3 (DPWJIFGM). I have asked him whether he will
be able to make it for the test and he said he has emailed to swimsafer to
change the assessor too. Can i request Mr Peter Chai Woei Guo to be my
student's assessor as he is also appointed for my 21-03-21 at Jalan Besar
SC 4pm Stage 4 (I8KYUJ7L). Please advise as soon as possible so that my
14-03-21 student's certificate is able to be generated and this saturday is
my student's stage 3 and 4 test.

Best regards,
Donovan Ong Choon Kiat
98825075
-- 
Donovan Ong
98825075
",SwimSafer
"Good afternoon,

  Can anyone advise and update?

Thanks

On Thu, 18 Mar 2021, 14:48 Active SG Helpdesk,  wrote:

> Hi sttitudesports,
>
> Thank you for writing to ActiveSG Technical HelpDesk.
>
> We have forwarded the case to SportSG for approval for the change, and are
> currently pending their response.
>
> For technical-related issues, contact us again at +65 65941388 (Mon to
> Sun, 7am to 10pm) or email: helpme@iappsasia.com.
> For other enquiries, click here. https://members.myactivesg.com/feedback.
>
> Thank you.
>
> With Best Regards,
> Zachary
>
> ActiveSG Technical Helpdesk
> iAPPS Pte Ltd
> 3 Fusionopolis Way, #13-24/25
> Symbiosis, Singapore 138633
> Helpline: 65941388
>
>
> ------------------------------
>
> *From:* sttitudesports@gmail.com
> *Date:* 18/03/2021 12:42pm
> *To:* helpme@iappsasia.com
> *Cc:* Muhammad_FARRIS_from.TP@sport.gov.sg, Jayme_JACOB@sport.gov.sg
> *Subject:* [CASE:218129] Re: Amendment of stage for student
> Good afternoon, can i check on this?
>
> Has it been updated as the assessor is unable to key in the results
>
> On Wed, 17 Mar 2021, 17:31 Sttitude Swim School, 
> wrote:
>
>> Good afternoon,
>>
>> Can i follow up with my previous email?
>>
>> Thank you
>>
>> On Thu, 11 Mar 2021, 23:30 Sttitude Swim School, <
>> sttitudesports@gmail.com> wrote:
>>
>>> Good evening,
>>>
>>>    Kindly amend the following child from stage 4 to stage 3
>>>
>>> Assessment code: IAWJFGH8
>>> Monteiro Kai Jun
>>> T1330565F
>>>
>>> Thank you
>>> [image:
>>> uc?export=download&id=1j_R1ExY3ZnAmm9b0Rj4h1SzOK_VSPNbK&revid=0B_N9GV4wdyvnS3d1WUMyQzZRY05qY0IrT2xxdGlmekxjanEwPQ]
>>> STTITUDE SWIM SCHOOL PTE. LTD.
>>> www.facebook.com/STTITUDE
>>> sttitudesports@gmail.com
>>> Hp: 94880554
>>>
>>
",SwimSafer
"Hi iAPPS,

We are not able to change the stage of an individual student without affecting the rest within the assessment. Do assist us in this matter.

Warm regards,
Farris

From: Sttitude Swim School 
Sent: Friday, 19 March 2021 4:30 PM
To: Active SG Helpdesk 
Cc: Muhammad FARRIS from.TP (SPORT) ; Jayme JACOB (SPORT) 
Subject: Re: [CASE:218129] Re: Amendment of stage for student

Good afternoon,

  Can anyone advise and update?

Thanks

On Thu, 18 Mar 2021, 14:48 Active SG Helpdesk, > wrote:
Hi sttitudesports,

Thank you for writing to ActiveSG Technical HelpDesk.

We have forwarded the case to SportSG for approval for the change, and are currently pending their response.

For technical-related issues, contact us again at +65 65941388 (Mon to Sun, 7am to 10pm) or email: helpme@iappsasia.com.
For other enquiries, click here. https://members.myactivesg.com/feedback.

Thank you.

With Best Regards,
Zachary

ActiveSG Technical Helpdesk
iAPPS Pte Ltd
3 Fusionopolis Way, #13-24/25
Symbiosis, Singapore 138633
Helpline: 65941388



________________________________

From: sttitudesports@gmail.com
Date: 18/03/2021 12:42pm
To: helpme@iappsasia.com
Cc: Muhammad_FARRIS_from.TP@sport.gov.sg, Jayme_JACOB@sport.gov.sg
Subject: [CASE:218129] Re: Amendment of stage for student
Good afternoon, can i check on this?

Has it been updated as the assessor is unable to key in the results

On Wed, 17 Mar 2021, 17:31 Sttitude Swim School, > wrote:
Good afternoon,

Can i follow up with my previous email?

Thank you

On Thu, 11 Mar 2021, 23:30 Sttitude Swim School, > wrote:
Good evening,

   Kindly amend the following child from stage 4 to stage 3

Assessment code: IAWJFGH8
Monteiro Kai Jun
T1330565F

Thank you
[uc?export=download&id=1j_R1ExY3ZnAmm9b0Rj4h1SzOK_VSPNbK&revid=0B_N9GV4wdyvnS3d1WUMyQzZRY05qY0IrT2xxdGlmekxjanEwPQ]
STTITUDE SWIM SCHOOL PTE. LTD.
www.facebook.com/STTITUDE
sttitudesports@gmail.com
Hp: 94880554
",SwimSafer
"Hi,

I try to add my child account but whenever I key in the ID number, it keep
stating invalid entry.

How can I solve this?
",Membership
"Hi, My children encountered problem with tap/paying for his sibling in entering Bishan swimming pool. 
He cannot pay for his sibling using his own eWallet.  This is so frustrating to create another Active Sg account for the younger sibling, & need to top up the eWallet, & furthermore the younger sibling does not have a mobile phone? 
Please advise resolutions
ThanksMr. Lai

Sent from Yahoo Mail on Android",Membership
"Yes we know. We also know roughly the timing of captcha if it is slow or fast. Even we get in fast c1 3-5pm is taken already in bowen every saturday which is friday booking. 

As you have take action on the previous issue in script booking. You have encourage the public to report. We just notice that it is weeks that c1 is always taken fast even thought we get in fast enough. 

We hope you can just look into this and investigate if the booking is really human speed. 

Thanks. 

Sent from my iPhone

> On 19 Mar 2021, at 4:54 PM, Active SG Helpdesk  wrote:
> 
> ﻿
> Hi,
> 
> Please be inform that booking is first come first serve and we do not have any control or allow reservation for individual booking. We have implemented Captcha our both App and Web platform during the peak hour at 7am ,12pm and 1pm.
> 
> With the CAPTCHA step, we are enhancing our autosystem to better serve all our members.
> 
> It is aimed at helping to prevent the use of automated software, which will mean that all members making any booking transactions on both the/   ActiveSG website and mobile app will have an equal chance.
> Hope this clarifies.
> 
> Thank you.
> With Best Regards,
> Azimah
> 
> ActiveSG Technical Helpdesk
> iAPPS Pte Ltd
> 3 Fusionopolis Way, #13-24/25
> Symbiosis, Singapore 138633
> Helpline: 65941388
> 
>  
>  
> From: l.hizon.i@gmail.com
> Date: 19-03-2021 11:09am
> To: helpme@iappsasia.com
> Subject: [CASE:218392] Re: Booking at Bowen Secondary School Hall
> 
> Screenshot that c1 3-5 pm is booked already? I cannot capture it since we are booking 3-5 pm. But every week it is red already and not available. 
> 
> Please help to check if this is prebooked or maybe using some script. 
> 
> Thanks. 
> 
> Sent from my iPhone
> 
> On 19 Mar 2021, at 8:59 AM, Active SG Helpdesk  wrote:
> 
> ﻿
>  
> 
> Dear Member,
> 
> 
> 
> 
> 
> Thank you for writing to ActiveSG Technical HelpDesk.
> 
> 
> 
> 
> 
> Kindly provide us a screenshot of the page when you tried making the booking for the specific school facility you have mentioned.
> 
> 
> 
> For technical-related issues, contact us again at +65 65941388 (Mon to Sun, 7am to 10pm) or email: helpme@iappsasia.com. For other enquiries, click here. https://members.myactivesg.com/feedback. 
> 
>  
> 
> 
> 
> Best Regards,
> 
>  
> 
> Rodgie
> 
> ActiveSG Technical Helpdesk
> 
> iAPPS Pte Ltd
> 
> 3 Fusionopolis Way, #13-24/25 
> 
> Symbiosis, Singapore 138633
> 
> Helpline: 65941388
> 
> 
",iOS
