,Housing_free,Housing_own,Housing_rent,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk_bad,Risk_good,Age,Job,Saving accounts,Checking account,Credit amount,Duration,Risk
40,0,1,0,0,0,0,0,0,1,0,0,0,1,30,3,3,0,2333,30,1
41,0,1,0,0,0,0,0,0,1,0,0,0,1,26,2,3,2,1158,12,1
42,0,1,0,0,0,0,0,0,0,1,0,0,1,44,1,1,2,6204,18,1
43,0,0,1,0,1,0,0,0,0,0,0,0,1,24,2,2,1,6187,30,1
44,1,0,0,0,1,0,0,0,0,0,0,1,0,58,1,1,1,6143,48,0
45,0,1,0,0,1,0,0,0,0,0,0,0,1,35,3,1,0,1393,11,1
46,0,1,0,0,0,0,0,0,1,0,0,0,1,39,2,3,0,2299,36,1
47,0,0,1,0,1,0,0,0,0,0,0,0,1,23,0,3,1,1352,6,1
48,0,1,0,0,1,0,0,0,0,0,0,0,1,39,1,1,0,7228,11,1
49,0,1,0,0,0,0,0,0,1,0,0,0,1,28,2,2,0,2073,12,1
50,0,1,0,0,0,0,0,1,0,0,0,0,1,29,1,0,2,2333,24,1
51,0,1,0,0,1,0,0,0,0,0,0,0,1,30,3,1,2,5965,27,1
52,0,1,0,0,0,0,0,0,1,0,0,0,1,25,2,1,0,1262,12,1
53,0,1,0,0,1,0,0,0,0,0,0,0,1,31,2,0,0,3378,18,1
54,1,0,0,0,1,0,0,0,0,0,0,1,0,57,2,1,2,2225,36,0
55,0,1,0,0,1,0,0,0,0,0,0,0,1,26,1,0,0,783,6,1
56,0,1,0,0,0,0,0,0,1,0,0,1,0,52,3,0,2,6468,12,0
57,0,1,0,0,0,0,0,0,1,0,0,0,1,31,2,1,0,9566,36,1
58,0,1,0,0,1,0,0,0,0,0,0,0,1,23,3,1,4,1961,18,1
59,0,0,1,0,0,0,0,1,0,0,0,1,0,23,1,1,1,6229,36,0
60,0,1,0,1,0,0,0,0,0,0,0,0,1,27,2,1,2,1391,9,1
61,0,1,0,0,0,0,0,0,1,0,0,0,1,50,2,0,2,1537,15,1
62,1,0,0,1,0,0,0,0,0,0,0,1,0,61,3,1,2,1953,36,0
63,0,1,0,1,0,0,0,0,0,0,0,1,0,25,2,1,2,14421,48,0
64,0,1,0,0,0,0,0,0,1,0,0,0,1,26,2,1,0,3181,24,1
65,0,1,0,0,0,0,0,0,0,1,0,0,1,48,2,0,0,5190,27,1
66,0,1,0,0,0,0,0,0,1,0,0,0,1,29,2,1,0,2171,12,1
67,0,1,0,0,1,0,0,0,0,0,0,0,1,22,2,4,2,1007,12,1
68,1,0,0,0,0,0,1,0,0,0,0,1,0,37,2,1,0,1819,36,0
69,0,1,0,0,0,0,0,0,1,0,0,0,1,25,2,0,0,2394,36,1
70,0,1,0,0,1,0,0,0,0,0,0,0,1,30,2,1,0,8133,36,1
71,0,0,1,0,0,0,0,0,1,0,0,0,1,46,1,0,0,730,7,1
72,1,0,0,0,0,0,0,0,0,0,1,0,1,51,3,1,1,1164,8,1
73,0,1,0,1,0,0,0,0,0,0,0,0,1,41,1,1,2,5954,42,1
74,0,1,0,0,0,0,1,0,0,0,0,1,0,40,3,0,1,1977,36,0
75,1,0,0,0,1,0,0,0,0,0,0,0,1,66,3,1,1,1526,12,1
76,0,1,0,0,0,0,0,0,1,0,0,1,0,34,2,1,1,3965,42,0
77,0,1,0,0,0,0,0,0,1,0,0,0,1,51,2,1,2,4771,11,1
78,0,1,0,0,1,0,0,0,0,0,0,0,1,39,1,0,0,9436,54,1
79,0,1,0,0,0,0,0,1,0,0,0,0,1,22,2,1,2,3832,30,1
80,0,1,0,0,0,0,0,0,1,0,0,1,0,44,2,0,0,5943,24,0
81,0,1,0,0,0,0,0,0,1,0,0,0,1,47,2,3,0,1213,15,1
82,0,0,1,1,0,0,0,0,0,0,0,0,1,24,1,2,0,1568,18,1
83,0,1,0,0,0,0,0,0,0,0,1,0,1,58,1,1,1,1755,24,1
84,0,1,0,0,0,0,0,0,1,0,0,0,1,52,1,1,1,2315,10,1
85,0,1,0,1,0,0,0,0,0,0,0,0,1,29,3,1,0,1412,12,1
86,0,1,0,0,0,0,0,1,0,0,0,0,1,27,2,1,2,1295,18,1
87,1,0,0,0,0,0,1,0,0,0,0,1,0,47,2,2,2,12612,36,0
88,0,1,0,0,1,0,0,0,0,0,0,0,1,30,3,2,1,2249,18,1
89,0,1,0,0,0,0,0,0,0,1,0,1,0,28,2,1,1,1108,12,0
90,0,1,0,0,0,0,0,0,1,0,0,0,1,56,2,1,0,618,12,1
91,0,1,0,0,1,0,0,0,0,0,0,0,1,54,2,1,1,1409,12,1
92,0,1,0,0,0,0,0,0,1,0,0,1,0,33,1,0,0,797,12,0
93,0,0,1,0,0,0,0,1,0,0,0,0,1,20,2,0,4,3617,24,1
94,0,1,0,0,1,0,0,0,0,0,0,0,1,54,2,4,2,1318,12,1
95,0,0,1,1,0,0,0,0,0,0,0,1,0,58,2,1,2,15945,54,0
96,0,1,0,0,0,0,1,0,0,0,0,0,1,61,2,0,0,2012,12,1
97,0,1,0,1,0,0,0,0,0,0,0,0,1,34,2,2,2,2622,18,1
98,0,1,0,0,0,0,0,0,1,0,0,0,1,36,2,1,2,2337,36,1
99,0,0,1,0,1,0,0,0,0,0,0,0,1,36,3,0,2,7057,20,1
100,0,0,1,0,1,0,0,0,0,0,0,0,1,41,1,2,0,1469,24,1
101,0,0,1,0,0,0,0,0,1,0,0,0,1,24,2,1,2,2323,36,1
102,0,1,0,0,0,0,0,0,1,0,0,0,1,24,2,1,0,932,6,1
103,0,0,1,0,0,0,0,1,0,0,0,0,1,35,2,1,2,1919,9,1
104,0,0,1,0,1,0,0,0,0,0,0,0,1,26,2,0,0,2445,12,1
105,0,1,0,0,0,0,0,0,0,0,1,1,0,39,3,1,2,11938,24,0
106,0,1,0,0,1,0,0,0,0,0,0,1,0,39,3,1,0,6458,18,0
107,0,1,0,0,1,0,0,0,0,0,0,0,1,32,2,1,2,6078,12,1
108,0,1,0,0,0,0,0,1,0,0,0,0,1,30,2,0,1,7721,24,1
109,0,1,0,1,0,0,0,0,0,0,0,0,1,35,2,3,2,1410,14,1
110,0,1,0,1,0,0,0,0,0,0,0,0,1,31,2,2,2,1449,6,1
111,0,0,1,0,0,0,1,0,0,0,0,0,1,23,2,1,4,392,15,1
112,0,0,1,0,1,0,0,0,0,0,0,0,1,28,1,1,2,6260,18,1
113,0,1,0,0,1,0,0,0,0,0,0,1,0,25,2,1,0,7855,36,0
114,0,1,0,0,0,0,0,0,1,0,0,0,1,35,2,3,1,1680,12,1
115,0,1,0,0,0,0,0,0,1,0,0,0,1,47,2,0,0,3578,48,1
116,0,1,0,0,0,0,0,0,1,0,0,1,0,30,3,0,1,7174,42,0
117,0,0,1,0,0,0,0,1,0,0,0,0,1,27,2,0,1,2132,10,1
118,0,1,0,0,0,0,0,1,0,0,0,1,0,23,2,3,1,4281,33,0
119,0,1,0,0,1,0,0,0,0,0,0,0,1,36,3,3,2,2366,12,1
120,0,1,0,0,0,0,0,0,1,0,0,1,0,25,2,1,1,1835,21,0
121,0,0,1,0,1,0,0,0,0,0,0,0,1,41,3,1,0,3868,24,1
122,0,0,1,0,0,0,0,1,0,0,0,0,1,24,1,1,0,1768,12,1
123,1,0,0,0,1,0,0,0,0,0,0,0,1,63,2,1,4,781,10,1
124,0,0,1,0,0,0,0,1,0,0,0,1,0,27,2,0,2,1924,18,0
125,0,1,0,0,1,0,0,0,0,0,0,0,1,30,2,1,1,2121,12,1
126,0,1,0,0,0,0,0,0,1,0,0,0,1,40,1,1,1,701,12,1
127,0,1,0,0,0,0,0,0,0,1,0,1,0,30,2,1,2,639,12,0
128,0,1,0,0,1,0,0,0,0,0,0,0,1,34,3,1,2,1860,12,1
129,0,1,0,0,1,0,0,0,0,0,0,1,0,29,2,1,1,3499,12,0
130,0,1,0,0,1,0,0,0,0,0,0,0,1,24,2,0,2,8487,48,1
131,0,1,0,0,0,0,1,0,0,0,0,1,0,29,2,1,1,6887,36,0
132,0,1,0,0,0,0,0,1,0,0,0,0,1,27,1,1,0,2708,15,1
133,1,0,0,0,0,0,0,1,0,0,0,0,1,47,2,1,0,1984,18,1
134,0,1,0,0,0,0,0,0,1,0,0,0,1,21,2,2,0,10144,60,1
135,0,1,0,0,0,0,0,0,1,0,0,0,1,38,2,0,0,1240,12,1
136,0,1,0,0,1,0,0,0,0,0,0,0,1,27,2,4,0,8613,27,1
137,0,1,0,0,0,0,0,0,1,0,0,1,0,66,1,3,2,766,12,0
138,0,1,0,0,0,0,0,0,1,0,0,0,1,35,2,0,2,2728,15,1
139,0,0,1,0,0,0,0,0,1,0,0,0,1,44,1,1,4,1881,12,1
140,0,1,0,0,1,0,0,0,0,0,0,0,1,27,0,4,4,709,6,1
141,0,1,0,0,0,0,0,0,1,0,0,0,1,30,3,1,2,4795,36,1
142,0,1,0,0,0,0,0,0,1,0,0,0,1,27,3,1,1,3416,27,1
143,0,1,0,0,0,0,0,1,0,0,0,1,0,22,2,1,1,2462,18,0
144,0,1,0,0,0,0,0,1,0,0,0,0,1,23,2,1,0,2288,21,1
145,0,1,0,1,0,0,0,0,0,0,0,0,1,30,2,2,2,3566,48,1
146,0,1,0,0,1,0,0,0,0,0,0,0,1,39,2,1,1,860,6,1
147,0,1,0,0,1,0,0,0,0,0,0,0,1,51,2,2,0,682,12,1
148,0,1,0,0,0,0,0,1,0,0,0,0,1,28,2,1,1,5371,36,1
149,0,1,0,0,0,0,0,0,1,0,0,0,1,46,2,4,0,1582,18,1
150,1,0,0,0,0,0,0,0,1,0,0,0,1,42,2,2,0,1346,6,1
151,0,1,0,0,0,0,0,0,1,0,0,0,1,38,2,1,0,1924,10,1
152,0,1,0,0,0,0,0,0,1,0,0,0,1,24,2,1,4,5848,36,1
153,0,0,1,0,1,0,0,0,0,0,0,0,1,29,2,4,2,7758,24,1
154,0,0,1,1,0,0,0,0,0,0,0,0,1,36,3,2,2,6967,24,1
155,0,0,1,0,0,0,0,1,0,0,0,1,0,20,2,1,1,1282,12,0
156,0,1,0,0,0,0,0,0,0,1,0,0,1,48,2,2,1,1288,9,1
157,0,1,0,0,0,0,1,0,0,0,0,0,1,45,1,1,1,339,12,1
158,0,1,0,0,1,0,0,0,0,0,0,0,1,38,2,2,2,3512,24,1
159,0,1,0,0,0,0,0,0,1,0,0,0,1,34,1,0,0,1898,6,1
160,0,1,0,0,0,0,0,0,1,0,0,0,1,36,2,2,0,2872,24,1
161,0,1,0,0,1,0,0,0,0,0,0,0,1,30,2,1,0,1055,18,1
162,0,1,0,0,0,1,0,0,0,0,0,0,1,36,2,3,0,1262,15,1
163,1,0,0,0,1,0,0,0,0,0,0,0,1,70,3,1,2,7308,10,1
164,0,1,0,0,1,0,0,0,0,0,0,0,1,36,2,3,0,909,36,1
165,0,1,0,0,0,0,0,1,0,0,0,0,1,32,2,3,0,2978,6,1
166,0,1,0,0,0,0,0,1,0,0,0,1,0,33,2,1,1,1131,18,0
167,0,1,0,0,0,0,0,1,0,0,0,0,1,20,2,4,2,1577,11,1
168,0,0,1,0,0,0,0,1,0,0,0,0,1,25,2,1,0,3972,24,1
169,0,1,0,1,0,0,0,0,0,0,0,1,0,31,2,1,2,1935,24,0
170,0,0,1,0,1,0,0,0,0,0,0,1,0,33,2,1,1,950,15,0
171,0,1,0,0,0,0,0,1,0,0,0,0,1,26,2,1,0,763,12,1
172,0,1,0,0,0,0,0,1,0,0,0,1,0,34,3,1,2,2064,24,0
173,0,1,0,0,0,0,0,0,1,0,0,0,1,33,2,1,2,1414,8,1
174,0,1,0,0,0,0,1,0,0,0,0,1,0,26,2,1,1,3414,21,0
175,0,1,0,0,1,0,0,0,0,0,0,1,0,53,3,0,0,7485,30,0
176,0,1,0,0,0,0,0,1,0,0,0,0,1,42,2,1,1,2577,12,1
177,0,1,0,0,0,0,0,0,1,0,0,0,1,52,2,3,1,338,6,1
178,0,0,1,0,0,0,0,0,1,0,0,0,1,31,3,1,0,1963,12,1
179,0,1,0,0,1,0,0,0,0,0,0,0,1,65,2,1,1,571,21,1
180,0,1,0,1,0,0,0,0,0,0,0,1,0,28,2,1,0,9572,36,0
181,0,1,0,1,0,0,0,0,0,0,0,1,0,30,3,1,2,4455,36,0
182,0,1,0,0,1,0,0,0,0,0,0,1,0,40,1,0,1,1647,21,0
183,0,1,0,0,0,0,0,1,0,0,0,0,1,50,2,4,0,3777,24,1
184,0,1,0,0,1,0,0,0,0,0,0,1,0,36,2,1,2,884,18,0
185,0,1,0,0,0,0,0,0,1,0,0,0,1,31,2,1,0,1360,15,1
186,1,0,0,0,1,0,0,0,0,0,0,1,0,74,3,1,2,5129,9,0
187,1,0,0,0,1,0,0,0,0,0,0,0,1,68,0,1,2,1175,16,1
188,0,1,0,0,0,0,0,0,1,0,0,1,0,20,2,2,1,674,12,0
189,0,1,0,0,0,0,0,1,0,0,0,0,1,33,2,1,2,3244,18,1
190,0,1,0,1,0,0,0,0,0,0,0,1,0,54,3,4,0,4591,24,0
191,1,0,0,1,0,0,0,0,0,0,0,1,0,34,1,2,2,3844,48,0
192,0,1,0,1,0,0,0,0,0,0,0,1,0,36,2,1,2,3915,27,0
193,0,0,1,0,0,0,0,0,1,0,0,0,1,29,2,1,0,2108,6,1
194,0,0,1,0,0,0,0,0,1,0,0,1,0,21,2,2,2,3031,45,0
195,0,1,0,0,0,0,1,0,0,0,0,1,0,34,3,1,2,1501,9,0
196,0,1,0,0,0,0,0,0,1,0,0,0,1,28,2,1,0,1382,6,1
197,0,0,1,0,0,0,0,1,0,0,0,1,0,27,2,2,2,951,12,0
198,1,0,0,0,1,0,0,0,0,0,0,0,1,36,2,0,2,2760,24,1
199,0,1,0,0,0,0,0,1,0,0,0,1,0,40,3,1,2,4297,18,0
200,0,1,0,0,0,0,1,0,0,0,0,0,1,52,2,3,0,936,9,1
201,0,1,0,0,1,0,0,0,0,0,0,0,1,27,1,1,1,1168,12,1
202,0,1,0,1,0,0,0,0,0,0,0,0,1,26,2,1,0,5117,27,1
203,0,0,1,0,0,0,1,0,0,0,0,1,0,21,2,1,1,902,12,0
204,0,1,0,0,1,0,0,0,0,0,0,0,1,38,1,1,0,1495,12,1
205,1,0,0,0,1,0,0,0,0,0,0,0,1,38,3,1,1,10623,30,1
206,0,1,0,0,0,0,0,1,0,0,0,0,1,43,2,1,0,1935,12,1
207,0,1,0,0,0,1,0,0,0,0,0,0,1,26,2,1,2,1424,12,1
208,0,1,0,1,0,0,0,0,0,0,0,0,1,21,1,1,1,6568,24,1
209,0,1,0,0,1,0,0,0,0,0,0,0,1,55,2,4,0,1413,12,1
210,0,1,0,0,0,0,0,0,1,0,0,0,1,33,2,0,0,3074,9,1
211,0,1,0,0,0,0,0,0,1,0,0,0,1,45,1,0,0,3835,36,1
212,0,1,0,1,0,0,0,0,0,0,0,1,0,50,2,1,1,5293,27,0
213,0,1,0,1,0,0,0,0,0,0,0,1,0,66,3,1,4,1908,30,0
214,0,1,0,0,0,0,0,0,1,0,0,0,1,51,2,0,0,3342,36,1
215,0,1,0,0,0,0,1,0,0,0,0,0,1,39,1,0,2,932,6,1
216,0,1,0,1,0,0,0,0,0,0,0,0,1,31,2,1,1,3104,18,1
217,0,1,0,0,0,0,0,0,1,0,0,0,1,23,2,1,4,3913,36,1
218,0,0,1,0,0,0,0,1,0,0,0,0,1,24,1,1,1,3021,24,1
219,0,1,0,0,1,0,0,0,0,0,0,0,1,64,2,1,0,1364,10,1
220,0,1,0,0,0,0,0,0,1,0,0,0,1,26,1,1,2,625,12,1
221,0,0,1,0,0,0,1,0,0,0,0,0,1,23,2,0,1,1200,12,1
222,0,1,0,0,0,0,0,0,1,0,0,0,1,30,2,1,0,707,12,1
223,0,1,0,1,0,0,0,0,0,0,0,0,1,32,2,0,0,2978,24,1
224,0,1,0,0,1,0,0,0,0,0,0,0,1,30,2,1,0,4657,15,1
225,0,1,0,0,0,0,0,0,0,1,0,0,1,27,2,1,0,2613,36,1
226,0,1,0,0,0,0,0,0,1,0,0,1,0,27,2,4,2,10961,48,0
227,1,0,0,0,0,0,0,1,0,0,0,1,0,53,3,1,1,7865,12,0
228,0,1,0,0,0,0,0,0,1,0,0,1,0,22,2,1,0,1478,9,0
229,1,0,0,0,0,0,0,1,0,0,0,0,1,22,2,1,1,3149,24,1
230,0,1,0,0,0,0,0,0,1,0,0,1,0,26,2,1,4,4210,36,0
231,1,0,0,0,1,0,0,0,0,0,0,0,1,51,1,3,0,2507,9,1
232,0,1,0,0,0,0,0,0,1,0,0,0,1,35,2,2,0,2141,12,1
233,0,1,0,0,0,0,0,0,1,0,0,0,1,25,1,1,2,866,18,1
234,0,1,0,0,0,0,0,0,1,0,0,0,1,42,1,1,0,1544,4,1
235,0,1,0,0,0,0,0,0,1,0,0,1,0,30,3,1,1,1823,24,0
236,0,1,0,0,1,0,0,0,0,0,0,1,0,23,0,0,2,14555,6,0
237,0,0,1,1,0,0,0,0,0,0,0,1,0,61,1,2,2,2767,21,0
238,0,1,0,0,0,0,0,0,1,0,0,0,1,35,2,1,0,1291,12,1
239,0,1,0,0,0,0,0,0,1,0,0,0,1,39,2,1,1,2522,30,1
240,0,1,0,0,1,0,0,0,0,0,0,1,0,29,2,0,1,915,24,0
241,0,1,0,0,0,0,0,0,1,0,0,0,1,51,2,1,0,1595,6,1
242,1,0,0,0,1,0,0,0,0,0,0,1,0,24,2,1,1,4605,48,0
243,0,1,0,1,0,0,0,0,0,0,0,0,1,27,2,1,0,1185,12,1
244,0,1,0,0,0,0,1,0,0,0,0,0,1,35,1,3,0,3447,12,1
245,0,1,0,1,0,0,0,0,0,0,0,0,1,25,2,1,0,1258,24,1
246,0,1,0,0,0,0,0,0,1,0,0,0,1,52,2,1,0,717,12,1
247,0,0,1,0,1,0,0,0,0,0,0,0,1,35,2,2,0,1204,6,1
248,0,1,0,0,0,0,0,1,0,0,0,0,1,26,2,1,4,1925,24,1
249,0,0,1,0,0,0,0,0,1,0,0,1,0,22,2,1,0,433,18,0
250,0,1,0,0,1,0,0,0,0,0,0,0,1,39,1,4,1,666,6,1
251,0,1,0,0,0,0,0,1,0,0,0,0,1,46,1,1,4,2251,12,1
252,0,1,0,0,1,0,0,0,0,0,0,1,0,24,2,1,2,2150,30,0
253,0,1,0,0,0,0,0,1,0,0,0,0,1,35,2,2,0,4151,24,1
254,0,1,0,0,0,0,0,1,0,0,0,0,1,24,2,0,2,2030,9,1
255,0,1,0,0,0,0,0,0,1,0,0,0,1,27,1,0,2,7418,60,1
256,0,1,0,0,0,0,0,0,1,0,0,0,1,35,1,1,0,2684,24,1
257,1,0,0,0,0,0,0,0,1,0,0,1,0,29,2,1,1,2149,12,0
258,0,1,0,0,1,0,0,0,0,0,0,0,1,23,2,2,0,3812,15,1
259,0,1,0,0,0,0,0,0,1,0,0,0,1,57,1,2,0,1154,11,1
260,0,1,0,0,0,0,0,1,0,0,0,0,1,27,2,1,1,1657,12,1
261,0,1,0,0,0,0,0,0,1,0,0,0,1,55,2,1,1,1603,24,1
262,1,0,0,0,1,0,0,0,0,0,0,0,1,36,3,1,1,5302,18,1
263,1,0,0,0,0,0,1,0,0,0,0,0,1,57,1,1,0,2748,12,1
264,0,1,0,0,1,0,0,0,0,0,0,0,1,32,1,1,0,1231,10,1
265,0,1,0,0,0,0,0,0,1,0,0,1,0,37,2,1,2,802,15,0
266,0,1,0,1,0,0,0,0,0,0,0,0,1,36,2,0,0,6304,36,1
267,0,1,0,0,0,0,0,0,1,0,0,0,1,38,2,1,0,1533,24,1
268,0,1,0,0,1,0,0,0,0,0,0,1,0,45,3,1,1,8978,14,0
269,0,1,0,0,0,0,0,0,1,0,0,0,1,25,2,0,0,999,24,1
270,0,1,0,0,1,0,0,0,0,0,0,0,1,32,2,0,0,2662,18,1
271,0,0,1,0,0,0,0,1,0,0,0,0,1,37,2,3,0,1402,12,1
272,1,0,0,0,1,0,0,0,0,0,0,0,1,36,3,0,2,12169,48,1
273,0,1,0,0,0,0,0,0,1,0,0,1,0,28,2,1,2,3060,48,0
274,0,1,0,0,0,0,0,0,0,1,0,1,0,34,1,1,1,11998,30,0
275,0,1,0,0,0,0,0,0,1,0,0,0,1,32,2,1,0,2697,9,1
276,0,1,0,0,0,0,0,0,1,0,0,0,1,26,2,1,0,2404,18,1
277,0,1,0,0,0,0,0,1,0,0,0,0,1,49,1,0,1,1262,12,1
278,0,1,0,0,0,0,0,1,0,0,0,1,0,32,2,1,0,4611,6,0
279,0,0,1,0,0,0,0,0,1,0,0,0,1,29,3,2,0,1901,24,1
280,0,0,1,0,1,0,0,0,0,0,0,0,1,23,2,4,0,3368,15,1
281,0,1,0,0,0,0,0,1,0,0,0,0,1,50,2,1,0,1574,12,1
282,0,1,0,0,0,0,0,0,1,0,0,0,1,49,1,0,4,1445,18,1
283,0,1,0,0,0,0,0,1,0,0,0,0,1,63,2,0,0,1520,15,1
284,0,1,0,0,1,0,0,0,0,0,0,0,1,37,2,2,2,3878,24,1
285,0,1,0,0,1,0,0,0,0,0,0,0,1,35,1,1,1,10722,47,1
286,0,1,0,0,1,0,0,0,0,0,0,0,1,26,2,1,1,4788,48,1
287,1,0,0,0,0,0,0,0,0,0,1,0,1,31,3,2,2,7582,48,1
288,0,1,0,0,0,0,0,0,1,0,0,0,1,49,2,1,2,1092,12,1
289,0,1,0,0,0,0,0,0,1,0,0,1,0,48,2,1,1,1024,24,0
290,0,1,0,1,0,0,0,0,0,0,0,0,1,26,2,1,0,1076,12,1
291,0,0,1,0,1,0,0,0,0,0,0,1,0,28,3,1,2,9398,36,0
292,1,0,0,0,1,0,0,0,0,0,0,0,1,44,3,1,1,6419,24,1
293,1,0,0,0,1,0,0,0,0,0,0,0,1,56,2,1,4,4796,42,1
294,0,1,0,1,0,0,0,0,0,0,0,0,1,46,3,0,0,7629,48,1
295,0,1,0,0,0,0,0,1,0,0,0,1,0,26,2,1,2,9960,48,0
296,0,0,1,0,1,0,0,0,0,0,0,0,1,20,2,0,0,4675,12,1
297,0,1,0,0,1,0,0,0,0,0,0,0,1,45,1,0,0,1287,10,1
298,0,1,0,0,0,0,0,1,0,0,0,0,1,43,2,1,0,2515,18,1
299,0,1,0,0,0,0,0,1,0,0,0,0,1,32,2,4,2,2745,21,1
300,0,1,0,0,1,0,0,0,0,0,0,0,1,54,0,1,0,672,6,1
301,0,1,0,0,0,0,0,0,1,0,0,1,0,42,2,1,2,3804,36,0
302,0,1,0,0,1,0,0,0,0,0,0,1,0,37,1,0,4,1344,24,0
303,0,1,0,0,1,0,0,0,0,0,0,0,1,49,2,1,1,1038,10,1
304,1,0,0,0,1,0,0,0,0,0,0,1,0,44,2,3,0,10127,48,0
305,0,1,0,0,0,0,0,1,0,0,0,0,1,33,2,4,0,1543,6,1
306,0,0,1,0,1,0,0,0,0,0,0,0,1,24,1,0,0,4811,30,1
307,0,1,0,0,0,0,0,0,1,0,0,1,0,33,1,2,1,727,12,0
308,0,1,0,0,0,0,0,1,0,0,0,1,0,24,2,1,2,1237,8,0
309,0,0,1,0,1,0,0,0,0,0,0,0,1,22,1,1,2,276,9,1
310,1,0,0,0,0,0,0,0,0,0,1,0,1,40,0,0,2,5381,48,1
311,0,1,0,0,0,0,0,1,0,0,0,0,1,25,2,2,0,5511,24,1
312,0,1,0,0,0,0,0,1,0,0,0,0,1,26,2,1,4,3749,24,1
313,0,1,0,0,1,0,0,0,0,0,0,1,0,25,1,1,2,685,12,0
314,0,1,0,0,1,0,0,0,0,0,0,0,1,29,1,0,4,1494,4,1
315,0,1,0,0,0,0,0,1,0,0,0,1,0,31,2,1,1,2746,36,0
316,0,1,0,0,0,0,0,1,0,0,0,0,1,38,1,1,1,708,12,1
317,0,1,0,0,0,0,0,1,0,0,0,0,1,48,1,0,2,4351,24,1
318,0,1,0,0,0,0,1,0,0,0,0,0,1,32,2,1,0,701,12,1
